Counts,Incs,Mean,P25,Median,P75
2,2,27719,2534,52905,52905
2,4,22920,8840,37000,37000
2,8,2995,2993,2998,2998
2,16,6894,4254,9535,9535
2,32,5186,3364,7008,7008
2,64,3819,1634,6005,6005
2,128,2269,1535,3004,3004
2,256,3165,2802,3528,3528
2,512,3312,3104,3520,3520
2,1024,3322,3090,3555,3555
8,2,3236,2527,3202,3995
8,4,2860,2518,2999,3529
8,8,3079,2536,2990,3996
8,16,3842,3000,3588,5516
8,32,2617,2521,2997,3002
8,64,3012,2929,3093,3254
8,128,2995,2520,2994,3047
8,256,2755,2518,2995,2999
8,512,2418,1531,2035,3519
8,1024,3189,2004,3002,4164
32,2,4446,2621,3001,3317
32,4,2885,2040,2604,3067
32,8,3473,2569,3004,3999
32,16,3366,2533,3011,3998
32,32,3137,2517,3000,3293
32,64,3126,2517,3005,3276
32,128,3065,2582,2999,3057
32,256,3015,2528,2999,3094
32,512,2956,2028,2679,3017
32,1024,2783,2378,2748,3002
128,2,3231,2516,2999,3691
128,4,2970,2169,2996,3103
128,8,3756,2997,3147,4991
128,16,3228,2522,3002,3883
128,32,5421,3001,3929,5529
128,64,5712,3269,4021,6036
128,128,5657,3124,4001,6520
128,256,3400,2527,3001,3848
128,512,3255,2521,3001,3729
128,1024,3532,2604,3012,4522
512,2,5455,3213,4049,6034
512,4,3787,2998,3327,4522
512,8,3737,2996,3251,4231
512,16,3408,2610,3007,3998
512,32,3252,2520,2999,3521
512,64,3412,2426,3000,3998
512,128,3311,2519,3000,3996
512,256,3273,2529,3000,3557
512,512,3289,2517,2999,3976
512,1024,3255,2520,3000,3439
